kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
L3247,I59 LED ΦΩΣ ΚΗΠΟΥ 30CM ΥΨΟΣ IP65 7W ΜΕ ΚΑΡΦΙ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΣΕ ΧΩΜΑ & ΜΠΕΤΟ,70,138,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3247.png,,120
L3248,I59 ΑΠΛΙΚΑ ΟΡΟΦΗΣ 5W 210Χ110Χ90MM,15,61,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3248.png,,61
L3249.1B,I59 ΣΠΟΤ ΡΑΓΑΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 7W 110X60MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,22,178,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3249.1B.png,,178
L3249.1W,I59 ΣΠΟΤ ΡΑΓΑΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 7W 110X60MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,22,50,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3249.1W.png,,50
L3249.2B,I59 ΣΠΟΤ ΡΑΓΑΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 20W 145X90MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,28,147,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3249.2B.png,,147
L3249.3W,I59 ΣΠΟΤ ΡΑΓΑΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 12W 190X100MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,32,40,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3249.3W.png,,40
L3250.1W,I59 ΣΥΝΔΕΣΜΟΣ ΡΑΓΑΣ 180ο,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3250.1W.png,,0
L3250.2B,I59 ΣΥΝΔΕΣΜΟΣ ΡΑΓΑΣ 180ο,0,,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3250.2B.png,,0
L3250B,I59 ΡΑΓΑ 1ΜΕΤΡΟΥ,8,25,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3250B.png,,25
L3250W,I59 ΡΑΓΑ 1ΜΕΤΡΟΥ,8,25,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3250W.png,,25
