kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
L3286W,I162 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 150ΜΜ 10W IP65 ΘΕΡΜΟ ΛΕΥΚΟ,35,63,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3286W.png,,63
L3287,I160 ΛΑΜΠΤΗΡΑΣ EDISON E27 40W 2200K DIMMABLE AMBER GLASS,1,1283,I160,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3287.png,,1281
L3288,I160 ΛΑΜΠΤΗΡΑΣ EDISON E27 40W 2200K DIMMABLE AMBER GLASS,0,820,I160,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3288.png,,820
L3289W,I191 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 230Χ80Χ27ΜΜ 1.8W 3000K IP65,25,-2,I191,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3289W.png,,-15
L3290.1,I182 ΠΡΟΦΙΛ ΑΛΟΥΜΙΝΙΟΥ LED ΤΑΙΝΙΑΣ 20Χ23ΜΜ ΜΕ ΚΑΛΥΜΜΑ 1000ΜΜ,0,,I182,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3290.1.png,,0
L3290.2,I182 ΠΡΟΦΙΛ ΑΛΟΥΜΙΝΙΟΥ LED ΤΑΙΝΙΑΣ 20Χ23ΜΜ ΜΕ ΚΑΛΥΜΜΑ 2000ΜΜ,2,,I182,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3290.2.png,,0
L3291B,I162 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 10W UP AND DOWN LIGHT100X100X100MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,162,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3291B.png,,162
L3291W,I162 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 10W UP AND DOWN LIGHT100X100X100MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,0,71,I162,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3291W.png,,71
L3299W,"I59 OUTDOOR LED WALL LIGHT with ajustable angle 
Aluminum Alloy 3.5w gu10 led spotlight inside IP65",65,-2,I59,ΦΩΤΑ,ΦΩΤΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/L3299W.jpg,,-10
TL033.1,B169 POOL STONE 20x2x40,110,50,B169,TILES,TILES,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/TL033.1.png,,50
TL033.2,B169 POOL STONE 20x2x45,130,,B169,TILES,TILES,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/TL033.2.png,,0
TL033.3,B169 STEP WALK RIVER STONE 60x30x2,50,193,B169,TILES,TILES,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/TL033.3.png,,193
Z90NA1,D199 3M SCOTCHCAST ΜΟΥΦΑ 470W 1,0,2,D199,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,2
Z90NA2,D199 3M SCOTCHCAST ΜΟΥΦΑ 470W 2,0,5,D199,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,5
Z092016,D208 ΠΙΝΑΚΙΔΑ ΑΛΟΥΜΙΝΙΟΥ 30Χ40cm,0,,D208,ΧΩΡΟΣΗΜΑΝΣΗ,ΧΩΡΟΣΗΜΑΝΣΗ,,,0
ZAG001,I196 Mixer Angle Grinder,50,4,I196,ΕΡΓΑΛΕΙΑ,ΕΡΓΑΛΕΙΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/ZAG001.png,,4
ZALUMIN001,D205 ΣΠΙΡΑΛΟΥΜΙΝΙΟ Φ120,7,8,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,8
ZALUMIN002,D205 ΣΠΙΡΑΛΟΥΜΙΝΙΟ Φ125,8,12,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,11
ZALUMIN003,D205 ΣΠΙΡΑΛΟΥΜΙΝΙΟ Φ100,8,-6,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,-9
ZALUMIN004,D205 ΣΧΑΡΕΣ ΓΑΛΒΑΝΙΖΕ 100Χ30,0,20,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,20
ZALUMIN004.1,D205 ΣΧΑΡΕΣ ΓΑΛΒΑΝΙΖΕ 100Χ15,0,11,D205,ΣΙΔΗΡΙΚΑ,,,,8
ZALUMIN004.2,D205 ΣΧΑΡΕΣ ΓΑΛΒΑΝΙΖΕ 100Χ15,0,40,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,40
ZALUMIN005,D205 ΛΑΜΑ 40Χ10,26,60,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,60
ZALUMIN006,D205 ΣΧΑΡΑ ΚΑΝΑΛΙΩΝ ΜΕ ΠΛΑΙΣΙΟ 150Χ1003,31,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN007,D205 ΚΟΙΛΟΔΟΚΟΙ 40Χ20Χ2Χ6,14,51,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,51
ZALUMIN008,D205 ΚΑΛΑΠ 6Χ6Χ8 ΜΑΥΡΗ,1,174,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,174
ZALUMIN009,D205 ΚΟΙΛΟΔΟΚΟΣ 60Χ40Χ2Χ6,24,96,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,96
ZALUMIN010,D205 ΣΩΜΑ ΗΛΕΚΤΡΟΚΟΛΛΗΣΗΣ 400Α,10,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN011,D205 ΑΚΡΟ ΗΛΕΚΤΡΟΔΙΟΥ,8,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN012,D205 ΚΑΜΙΝΑΔΑ ΜΟΝΩΜΕΝΗ Φ150-Φ200,43,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN013,D205 ΠΛΑΣΤΙΚΗ ΤΑΠΑ 40Χ20,0,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN014,D205 ΑΕΡΑΓΩΓΟΣ ΑΛΟΥΜ ΒΤ Φ125,3,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN015,D205 ΛΑΜΑΡΙΝΑ ΚΥΜΑΤΟΕΙΔΗ 4ΜΧ0.82ΜΧ0.35Μ,21,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN016,D205 ΑΕΡΑΓΩΓΟΙ ΑΛΟΥΜΙΝΙΟΥ Φ100,2,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZALUMIN025,D205  ΤΡΑΝΤΖΑΡΙΣΤΟ 60Χ40 ΓΑΛΒΑΝΙΖΕ,0,48,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,48
ZALUMIN026,D205 ΣΤΡΑΝΤΖΑΡΙΣΤΟ 40Χ20 ΓΑΛΒΑΝΙΖΕ,0,40,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,40
ZALUMIN027,D205 ΣΤΡΟΓΓΥΛΟ 235JR D010 6M,5,,D205,ΣΙΔΗΡΙΚΑ,ΑΡΑΒΑΝΗΣ,,,0
ZAM67PWU,D198 ΠΡΙΖΑ ΤΡΟΦΟΔΟΣΙΑΣ USB,0,,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,0
ZAM68SBU,D198 ΠΡΙΖΑ ΤΡΟΦΟΔΟΣΙΑΣ USB,0,,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,0
ZAQ20PWU,D198 ΚΟΥΤΙ COMBO,4,34,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,34
ZAQ21PWU,D198 ΚΟΥΤΙ COMBO,0,92,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,92
ZAQ22PWU,D198 ΚΟΥΤΙ COMBO,0,16,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,16
ZAQ30PWU,D198 ΚΟΥΤΙ COMBO,0,50,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,50
ZAQ31PWU,D198 ΚΟΥΤΙ COMBO,0,66,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,66
ZAQHM70-P,D198 ΚΟΥΤΙ ΓΥΨΟΣΑΝΙΔΑΣ ΗΜ70-P,3,-80,D198,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,ΗΛΕΚΤΡΟΛΟΓΙΚΑ,,,-80
ZARMOS03GREY,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZARMOS04GREYBLUE,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,8,-5,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-9
ZARMOS05LIGHTGREY,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 2kg,0,15,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,15
ZARMOS08BROWN,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZARMOS10DARKGREY,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,10,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,10
ZARMOS11IVORY,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,-2,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-3
ZARMOS15MANHTGREY,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,10,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,10
ZARMOS17ANEMO,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZARMOS29GREYSILVER,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,-2
ZARMOS30GREYCEMENT,D201 ΑΡΜΟΣΤΟΚΟΣ ISOMAT MULTIFILL ΑΠΛΟΣ 5kg,0,60,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,58
ZARMOSNo02GRGLUCE,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,9,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,9
ZARMOSNo03GRIGPERLA,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,6,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,6
ZARMOSNo04GRIGFERRO,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZARMOSNo05ANTRACITE,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZARMOSNo07JASMIN,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,3,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,3
ZARMOSNo08BAHAMABEIGE,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,1,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,1
ZARMOSNo44CEMENTO,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZARMOSNo45LIMESTONE,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZARMOSNo46AVORIO,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,3,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,3
ZARMOSNo50PERGAMON,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZARMOSNo51SILVER,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,9,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,9
ZARMOSNo52TORTORA,D200 ΑΡΜΟΣΤΟΚΟΣ ΠΛΑΚΙΔΙΩΝ KERAKOLL 5kg,0,1,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,1
ZBD,I153 ΚΟΥΔΟΥΝΙ ΕΝΟΣ ΗΧΟΥ 220V,0,18,I153,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,ΗΛΕΚΤΡΟΜΗΧ/ΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/ZBD.png,,18
ZC03A,D208 ΑΥΤΟΚΟΛΗΤΑ ΣΗΜΑΝΣΗΣ 500Χ700mm,0,19,D208,ΧΩΡΟΣΗΜΑΝΣΗ,ΧΩΡΟΣΗΜΑΝΣΗ,,,18
ZCD001,"I196 ΔΙΣΚΟΣ ΚΟΠΗΣ 125Χ1,2Χ22,2",1,1373,I196,ΕΡΓΑΛΕΙΑ,ΕΡΓΑΛΕΙΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/ZCD001.png,,1373
ZCD002,I196 1200W ΤΡΟΧΟΣ,1,406,I196,ΕΡΓΑΛΕΙΑ,ΕΡΓΑΛΕΙΑ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/ZCD002.png,,143
ZCHR001,"D201 ΒΕΡΝΙΚΙ ΕΜΠΟΤΙΣΜΟΥ ΔΙΑΛΥΤΟΥ DECOR
  750ml",0,31,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,23
ZCHR002,D201 ΒΕΡΝΙΚΙ ΕΜΠΟΤΙΣΜΟΥ ΠΕΤΡΑΣ DELAC 750ml,0,9,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,9
ZCHR003,D201 ISOMAT ΑΡΜΟΣΤΟΚΟΣ ΑΠΛΟΣ #17 2kg,0,9,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,9
ZCHR004,D201 ISOMAT ΑΡΜΟΣΤΟΚΟΣ ΑΠΛΟΣ #03 2kg,0,8,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,8
ZCHR005,D201 ISOMAT ΑΡΜΟΣΤΟΚΟΣ ΑΠΛΟΣ #01 5kg,0,1,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,1
ZCHR006,D201 WHITE SPIRIT KRAFT 750ml,0,17,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,17
ZCHR007,D201 ΑΦΡΟΣΤΟΚΟΣ DUROSTICK 2.5L,0,3,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,2
ZCHR008,D201 ΑΦΡΟΣΤΟΚΟΣ DUROSTICK 1L,0,3,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHR009,D201 ΑΦΡΟΣΤΟΚΟΣ DUROSTICK 0.5L,0,5,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZCHR010,D201 DUROSTIK ΙΝΕΣ 900gr,0,8,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,0
ZCHR011,D203 ΧΑΛΑΖΙΟ ΑΣΤΑΡΙ ISOMIX 15Lt,0,8,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-4
ZCHR012,D203 ΧΑΛΑΖΙΟ ΑΣΤΑΡΙ MARMOLIN 5Lt,0,4,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1
ZCHR013,D203 PENETRON 25kg,0,24,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,24
ZCHR014,"D203 PENETRON MORTAR 22,700kg",0,12,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,12
ZCHR015,D203 PENETRON ADMIX 18kg,0,13,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,8
ZCHR016,"D203 PENETRON SEAL COAT 22,700kg",0,8,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-10
ZCHR017,D203 PENETRON ELASTIC 12kg,0,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-14
ZCHR018,D203 PENETRON LATEX 20kg,0,13,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,13
ZCHR019,D202 ΒΕΡΝΙΚΙ BONDEX TEAK 729 750ml,0,10,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,8
ZCHR020,D203 VIVECHROME ELASTIC 240-30YR 10Lt,0,13,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,13
ZCHR021,D203 VIVECHROME ELASTIC 900-20Y 10Lt,0,9,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHR022,D203 VIVECHROME ELASTIC CL85 10Lt,0,-13,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,-20
ZCHR023,D203 VIVECHROME NEOPAL ΛΕΥΚΟ 10Lt,0,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHR024,D203 VIVECHROME ELASTIC 9000 10Lt,0,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHR025,D202 VITEX ELASTIC ΛΕΥΚΟ 10Lt,0,4,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,4
ZCHR026,D203 ISOMAT PRIMER ΘΕΡΜΟΠΡΟΣΩΨΗ ΛΕΥΚΟ 3Lt,0,8,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,8
ZCHR027,"D203 ΒΕΛΑΤΟΥΡΑ ΝΕΡΟΥ 2,5Lt",0,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHR028,"D203 ΒΕΛΑΤΟΥΡΑ ΔΙΑΛΥΤΟΥ 2,5Lt",0,7,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHR029,D203 ΒΕΛΑΤΟΥΡΑ ΔΙΑΛΥΤΟΥ 750ml,0,2,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHR030,D203 ΡΙΠΟΥΛΙΝΗ ΝΕΡΟΥ 750ml,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHR031,"D203 ΡΙΠΟΥΛΙΝΗ ΔΙΑΛΥΤΟΥ 2,5Lt",0,3,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,3
ZCHR032,D203 ΡΙΠΟΥΛΙΝΗ ΔΙΑΛΥΤΟΥ 750ml,0,6,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,6
ZCHR033,D202 VITEX ΑΝΤΙΣΚΟΥΡΙΑΚΟ ΧΡΩΜΑ ΣΑΣΙ 750ml,0,13,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,13
ZCHR034,D203 VITEX ΝΤΟΥΚΟΧΡΩΜΑ ΜΑΥΡΟ ΜΑΤ 750ml,0,11,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,9
ZCHR035,D203 ADHEX A+B ΑΣΤΑΡΙ ΠΡΟΕΡΓΑΣΙΑΣ ΜΕΤΑΛΛΩΝ 600ml,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,5
ZCHR036,D202 PELLACHROME METAL-X ΜΑΥΡΟ ΜΑΤ No207 750ml,0,5,D202,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΑΓΡΙΝΙΟ,,,5
ZCHR038,"D200 KERAKOLL ΣΑΜΠΟΥΑΝ ΠΛΑΚΙΔΙΩΝ 1,5Lt",0,1,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,0
ZCHR039,D201 SIKAFLEX ALL IN ONE -11FC ΜΑΥΡΟ 300ml,0,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZCHR040,D201 SIKABOOM ΑΦΡΟΣ ΧΕΡΙΟΥ,0,168,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,168
ZCHR041,D201 SIKA ANCHORFIX -1N ΡΙΤΙΝΗ,0,4,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,4
ZCHR042,D203 REVINEX ΒΕΛΤΙΩΤΙΚΟ ΚΟΝΙΑΜΑΤΩΝ 18kg,0,5,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,1
ZCHR043,D203 REVINEX ΒΕΛΤΙΩΤΙΚΟ ΚΟΝΙΑΜΑΤΩΝ 5kg,0,4,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,2
ZCHR044,D203 PRIMER WBPU A+ ΠΑΤΩΜΑ ΡΟΜΠΟΤΕ 10kg,0,8,D203,ΧΡΩΜΑΤΑ,ΓΚΕΣΟΥΛΗΣ,,,8
ZCHR045,D200 KERAKOLL ΣΦΟΥΓΓΑΡΙ ΚΕΤΑΡΙΝΗΣ,0,9,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,9
ZCHR046,D200 KERAKOLL ΣΦΟΥΓΓΑΡΙ ΚΕΡΑΤΙΝΗΣ ΜΕ ΒΑΣΗ,0,4,D200,ΧΡΩΜΑΤΑ,ΜΠΟΤΣΙΟΣ,,,4
ZCHR047,D201 PENETRON PENEBAR SW-45 RAPID,0,30,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,30
ZCHR048,D201 TUBAX ΜΟΥΡΕΛΑ 20cm,0,400,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,400
ZCHR049,D201 PENEBAR PRIMER 750ml,0,6,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,6
ZCHROM0001,D201 ISOMAT MEGACROUT 100 25kg,18,2737,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,2711
ZCHROM0002,D201 ISOMAT MEGACRET 40 25kg,21,8076,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,8017
ZCHROM0003,D201 ISOMAT DUROCRET ΓΚΡΙ 25kg,15,55,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,31
ZCHROM0004,D201 ISOMAT DUROCRET ΛΕΥΚΟ 25kg,0,21,D201,ΧΡΩΜΑΤΑ,ΣΚΙΑΔΑΣ ΛΕΥΚΑΔΑ,,,19
